Fifth instar larvae cuticular epidermis	TS-1151
Filter chamber	TS-0367
Flank organ	TS-0368
Flavedo	TS-0369
Flight muscle	TS-0370
Floret	TS-0371
Flower bud	TS-0372
Floral bud	TS-0372
Flower meristem	TS-0373
Floral meristem	TS-0373
Inflorescence meristem	TS-0373
Flower	TS-0374
Inflorescence	TS-0374
Inflorescense	TS-0374
Floral tissue	TS-0374
Floral	TS-0374
Foam nest	TS-1200
Foliate papilla	TS-0375
Foliate papillae	TS-0375
Follicular cell	TS-0376
Foot	TS-0377
Foot muscle	TS-0378
Foot sole tissue	TS-0379
Forebrain	TS-0380
Forebrain cortex	TS-0381
Forelimb	TS-0382
Foreskin	TS-0383
Foreskin fibroblast	TS-0384
Foreskin keratinocyte	TS-0385
Foveolar epithelium	TS-0386
Foveolar epithelial cell	TS-0386
Frond	TS-0387
Frond tip	TS-0388
Frontal cortex	TS-0389
Brain frontal cortex	TS-0389
Brain frontal lobe	TS-0389
Frontal lobe	TS-0389
Fruit cortical tissue	TS-0390
Fruit flesh	TS-0391
Fruit pulp	TS-0391
Fruit	TS-0392
Berry	TS-0392
Fruiting body	TS-0393
Gall bladder	TS-0394
Gallbladder	TS-0394
Gall bladder glandular cell	TS-1278
Gallbladder glandular cell	TS-1278
Gall bladder glandular cells	TS-1278
Gall bladder wall	TS-1304
Gallbladder wall	TS-1304
Wall of gallbladder	TS-1304
Gametangium	TS-1215
Gametangia	TS-1215
Gamete	TS-0395
Gametophyte	TS-0396
Ganglion	TS-0397
Ganglia	TS-0397
Gastric adenocarcinoma	TS-0398
Adenogastric carcinoma	TS-0398
Stomach adenocarcinoma	TS-0398
Gastric antrum	TS-0399
Antrum	TS-0399
Gastric carcinoma	TS-0400
Stomach carcinoma	TS-0400
Gastric corpus	TS-0401
Gastric body	TS-0401
Gastric fundic mucosa	TS-0402
Gastric fundus	TS-0403
Stomach fundus	TS-0403
Gastric mucosa	TS-0404
Stomach mucosa	TS-0404
Gastric antral mucosa	TS-0404
Antral mucosa	TS-0404
Gastric parietal cell	TS-0405
Parietal cell	TS-0405
Oxyntic cell	TS-0405
Gastrocnemius	TS-0406
Gastrointestinal tract	TS-0407
Gastro-intestinal system	TS-0407
Gastrointestinal system	TS-0407
Gastrointestinal tract epithelium	TS-0408
Gastrointestinal tract epithelial cell	TS-0408
Gastrula	TS-1143
Germ	TS-0410
Germ cell	TS-0411
Gill	TS-0412
Gizzard	TS-0413
Gizzard smooth muscle	TS-0414
Gland	TS-1305
Glial cell	TS-0415
Neuroglial cell	TS-0415
Glial	TS-0415
Neuroglia	TS-0415
Nerve cement	TS-0415
Glia	TS-0415
Neuroglia cell	TS-0415
Glial tumor	TS-0416
Glial tumour	TS-0416
Glioma	TS-0416
Glioma cell	TS-0416
Gliocytoma	TS-0416
Neuroglioma	TS-0416
Neurospongioma	TS-0416
Malignant glioma	TS-0416
Glioblastoma	TS-0417
Glucagonoma	TS-0418
Glucagonoma tumor	TS-0418
Gonad	TS-0419
Grain	TS-0420
Granular dorsal gland	TS-0421
Granulocyte	TS-0422
Granuloma	TS-0423
Green leaf	TS-0424
Adult leaf	TS-0424
Green siliques	TS-0425
Growth plate	TS-0426
Epiphyseal plate	TS-0426
Gut	TS-0427
Gut juice	TS-0428
Gynoecium	TS-0429
Gynoecia	TS-0429
Hair	TS-0430
Hair follicle dermal papilla	TS-0431
Hair follicle dermal papillae	TS-0431
Dermal papilla	TS-0431
Dermal papillae	TS-0431
